City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,tazovsky,67.4667,78.7,5.63,78,100,5.58,RU,1685066991
84,tura,25.5198,90.2201,25.78,70,67,1.52,IN,1685066722
85,kenai,60.5544,-151.2583,9.05,90,100,6.69,US,1685066992
86,iqaluit,63.7506,-68.5145,1.5,80,100,4.92,CA,1685066813
87,lerwick,60.1545,-1.1494,9.0,87,61,7.09,GB,1685066992
88,chany,55.3121,76.7647,10.95,45,8,4.68,RU,1685066992
89,gongzhuling,43.5008,124.8198,23.1,40,0,7.9,CN,1685066992
90,kuta,-8.7233,115.1723,28.97,74,40,5.81,ID,1685066992
91,georgetown,5.4112,100.3354,30.96,74,20,1.54,MY,1685066700
92,ta`u,-14.2336,-169.5144,27.21,78,64,5.1,AS,1685066840
93,melekeok village,7.4957,134.6367,28.91,80,100,8.49,PW,1685066993
94,as suwayq,23.8494,57.4386,34.94,40,2,6.21,OM,1685066993
95,akjoujt,19.6969,-14.4164,25.29,60,100,6.06,MR,1685066993
96,south hedland,-20.4089,118.5983,24.96,29,20,10.29,AU,1685066993
97,senanga,-16.1167,23.2667,14.0,44,0,1.76,ZM,1685066994
98,natal,-5.795,-35.2094,25.36,94,75,2.06,BR,1685066881
99,lebu,-37.6167,-73.65,12.81,86,97,8.04,CL,1685066994
100,invercargill,-46.4,168.35,12.77,88,100,4.61,NZ,1685066994
101,eyl,7.9803,49.8164,27.83,76,46,6.62,SO,1685066995
102,thompson,55.7435,-97.8558,13.09,100,100,2.06,CA,1685066995
103,port elizabeth,-33.918,25.5701,13.16,73,20,9.77,ZA,1685066702
104,siocon,7.7061,122.1353,29.61,71,98,2.45,PH,1685066995
105,aykhal,66.0,111.5,0.84,69,100,4.42,RU,1685066995
106,antalaha,-14.9003,50.2788,20.92,92,27,2.5,MG,1685066996
107,fisterra,42.9049,-9.2629,15.57,68,0,10.23,ES,1685066671
108,charters towers,-20.1,146.2667,24.67,41,35,2.16,AU,1685066996
109,lesnoy,57.6198,63.0784,16.5,58,8,2.16,RU,1685066996
110,qaqortoq,60.7167,-46.0333,0.6,99,100,2.28,GL,1685066996
111,college,64.8569,-147.8028,23.99,29,75,3.6,US,1685066807
112,el granada,37.5027,-122.4694,20.02,78,100,5.14,US,1685066997
113,kamina,-8.7386,24.9906,18.4,65,7,1.76,CD,1685066997
114,selfoss,63.9331,-20.9971,5.47,81,100,3.59,IS,1685066997
115,forster,-32.1667,152.5167,20.16,54,40,6.5,AU,1685066839
116,mugia,43.1041,-9.2179,15.65,73,0,10.43,ES,1685066998
117,eten,-6.9081,-79.8642,24.14,78,0,6.69,PE,1685066998
118,rewa,24.5333,81.3,29.94,41,44,8.28,IN,1685066998
119,tobelo,1.7284,128.0095,26.0,89,100,3.11,ID,1685066999
120,cold lake,54.4502,-110.2017,13.09,67,100,2.12,CA,1685066999
121,artigas,-30.4,-56.4667,17.74,80,10,4.12,UY,1685066999
122,crescent city,41.756,-124.2018,13.6,96,100,7.2,US,1685066999
123,chonchi,-42.6128,-73.8092,2.56,88,100,1.2,CL,1685067000
124,san jose de guanipa,8.8872,-64.1651,28.83,63,100,3.1,VE,1685067000
125,happy valley-goose bay,53.3168,-60.3315,2.81,75,2,0.97,CA,1685066811
126,torbat-e jam,35.244,60.6225,20.97,18,2,2.84,IR,1685067000
127,shingu,33.7333,135.9833,20.73,66,100,2.72,JP,1685066844
128,utrik,11.2278,169.8474,27.76,79,100,8.95,MH,1685067001
129,hilo,19.7297,-155.09,25.53,80,100,4.12,US,1685066739
130,castillos,-34.1667,-53.8333,18.29,83,71,3.42,UY,1685067002
131,manismata,-2.4667,111.0333,28.04,81,41,1.84,ID,1685067006
132,wynyard,-41.0,145.7167,12.21,73,100,5.94,AU,1685067008
